name,original,reduced,Seed
satellites2-60-fs.mp,379.476,359.057,12
satellites2-60-fs.mp,423.249,157.585,123
satellites2-60-fs.mp,254.205,210.901,1234
sct2.mp,31.821,40.326,0
sct2.mp,33.064,46.731,1
sct2.mp,54.674,31.922,12
sct2.mp,15.304,14.774,123
sct2.mp,67.249,27.111,1234
sing326.mp,3603.402,3173.108,0
sing326.mp,2534.221,1963.266,1
sing326.mp,3602.573,3603.117,12
sing326.mp,3261.811,3605.712,123
sing326.mp,3606.657,2387.914,1234
sing44.mp,2232.639,2717.364,0
sing44.mp,2041.757,1541.42,1
sing44.mp,1757.804,2755.375,12
sing44.mp,2863.115,3603.694,123
sing44.mp,1926.327,2776.336,1234
splice1k1.mp,1695.873,3601.282,0
splice1k1.mp,3604.804,3600.146,1
splice1k1.mp,3601.126,3601.471,12
splice1k1.mp,2743.241,3601.063,123
splice1k1.mp,1678.537,1941.036,1234
supportcase18.mp,3603.573,66.855,0
supportcase18.mp,2466.066,74.431,1
supportcase18.mp,3603.218,67.082,12
supportcase18.mp,3604.927,38.228,123
supportcase18.mp,124.189,356.158,1234
supportcase22.mp,3601.525,3601.217,0
supportcase22.mp,3601.45,3601.033,1
supportcase22.mp,3601.552,3600.996,12
supportcase22.mp,3601.609,3601.237,123
supportcase22.mp,3462.308,3601.295,1234
supportcase33.mp,30.466,21.538,0
supportcase33.mp,24.351,23.517,1
supportcase33.mp,20.419,25.339,12
supportcase33.mp,21.741,23.644,123
supportcase33.mp,19.676,20.906,1234
supportcase6.mp,211.176,189.663,0
supportcase6.mp,188.644,179.695,1
supportcase6.mp,195.797,194.037,12
supportcase6.mp,189.785,135.666,123
supportcase6.mp,162.262,165.456,1234
supportcase7.mp,8.668,9.472,0
supportcase7.mp,8.335,8.037,1
supportcase7.mp,8.272,6.656,12
supportcase7.mp,9.26,8.245,123
supportcase7.mp,8.668,8.162,1234
swath1.mp,8.714,7.947,0
swath1.mp,8.515,8.256,1
swath1.mp,8.478,7.992,12
swath1.mp,8.952,7.959,123
swath1.mp,7.853,6.691,1234
swath3.mp,130.203,129.868,0
swath3.mp,45.563,69.258,1
swath3.mp,62.04,64.388,12
swath3.mp,64.196,110.44,123
swath3.mp,72.376,255.506,1234
tbfp-network.mp,50.589,50.434,0
tbfp-network.mp,56.375,56.174,1
tbfp-network.mp,119.786,109.423,12
tbfp-network.mp,75.281,73.478,123
tbfp-network.mp,50.516,48.991,1234
traininstance2.mp,265.147,340.461,0
traininstance2.mp,338.011,141.961,1
traininstance2.mp,234.511,201.211,12
traininstance2.mp,429.33,140.454,123
traininstance2.mp,171.78,216.024,1234
traininstance6.mp,49.159,28.656,0
traininstance6.mp,22.653,17.394,1
traininstance6.mp,26.225,11.224,12
traininstance6.mp,34.45,21.914,123
traininstance6.mp,26.518,27.535,1234
